date,nav
2006-04-03,42.3290
2006-04-04,42.8150
2006-04-05,43.6130
2006-04-07,43.2210
2006-04-10,43.1180
2006-04-12,42.4290
2006-04-13,41.9360
2006-04-17,42.5120
2006-04-18,43.0600
2006-04-19,43.5790
2006-04-20,43.6770
2006-04-21,43.8590
2006-04-24,43.7310
2006-04-25,42.8290
2006-04-26,43.5990
2006-04-27,43.1660
2006-04-28,43.1290
2006-05-02,44.0410
2006-05-03,44.2400
2006-05-04,44.4330
2006-05-05,44.5100
2006-05-08,44.5450
2006-05-09,44.8470
2006-05-10,44.9840
2006-05-11,44.3100
2006-05-12,43.8110
2006-05-15,42.7740
2006-05-16,42.5760
2006-05-17,43.8680
2006-05-18,41.3110
2006-05-19,39.9560
2006-05-22,37.6600
2006-05-23,38.2340
2006-05-24,38.2340
2006-05-25,38.4880
2006-05-26,38.7680
2006-05-29,38.7840
2006-05-30,37.8220
2006-05-31,37.8220
2006-06-01,36.5480
2006-06-02,37.3740
2006-06-05,36.3380
2006-06-06,35.2580
2006-06-07,33.9980
2006-06-08,31.8580
2006-06-09,33.6720
2006-06-12,32.8760
2006-06-13,31.4410
2006-06-14,30.7380
2006-06-15,32.4600
2006-06-16,33.4590
2006-06-19,34.0130
2006-06-20,33.6500
2006-06-21,34.5700
2006-06-22,35.3390
2006-06-23,35.7150
2006-06-26,34.8240
2006-06-27,34.8830
2006-06-28,34.8210
2006-06-29,34.8300
2006-06-30,36.0340
2006-07-03,36.3160
2006-07-04,36.2910
2006-07-05,36.6690
2006-07-06,36.3330
2006-07-07,35.6290
2006-07-10,36.0710
2006-07-11,36.0040
2006-07-12,36.6570
2006-07-13,36.5070
2006-07-14,36.0770
2006-07-17,35.0800
2006-07-18,34.9950
2006-07-19,34.1930
2006-07-20,35.1510
2006-07-21,34.5800
2006-07-24,34.7410
2006-07-25,35.3100
2006-07-26,35.9900
2006-07-27,36.6870
2006-07-28,36.9210
2006-07-31,37.1950
2006-08-01,37.3060
2006-08-02,37.6240
2006-08-03,37.7350
2006-08-04,37.6170
2006-08-07,37.6400
2006-08-08,38.2570
2006-08-09,38.9600
2006-08-10,39.0070
2006-08-11,39.1270
2006-08-14,39.8010
2006-08-16,40.1160
2006-08-17,40.1370
2006-08-18,40.0670
2006-08-21,40.1610
2006-08-22,40.0820
2006-08-23,39.7040
2006-08-24,39.9750
2006-08-25,40.3220
2006-08-28,40.4680
2006-08-29,40.6710
2006-08-30,40.8280
2006-08-31,40.6720
2006-09-01,40.9310
2006-09-04,41.5450
2006-09-05,41.7220
2006-09-06,41.8650
2006-09-07,41.6540
2006-09-08,41.8540
2006-09-11,40.7180
2006-09-12,41.0010
2006-09-13,41.6970
2006-09-14,41.8300
2006-09-15,42.0440
2006-09-18,42.1370
2006-09-19,41.7860
2006-09-20,42.0960
2006-09-21,42.6020
2006-09-22,42.5400
2006-09-25,42.4250
2006-09-26,42.7700
2006-09-27,42.9770
2006-09-28,43.0300
2006-09-29,43.4460
2006-10-03,43.1600
2006-10-04,42.8250
2006-10-05,43.4200
2006-10-06,43.7060
2006-10-09,44.1290
2006-10-10,44.1220
2006-10-11,43.8390
2006-10-12,44.0890
2006-10-13,44.6100
2006-10-16,44.5480
2006-10-17,44.3680
2006-10-18,44.3000
2006-10-19,44.0330
2006-10-20,44.1600
2006-10-23,44.2980
2006-10-26,44.4830
2006-10-27,45.0250
2006-10-30,45.1850
2006-10-31,45.2980
2006-11-01,45.7230
2006-11-02,45.9540
2006-11-03,46.0820
2006-11-06,46.1980
2006-11-07,46.1770
2006-11-08,45.7560
2006-11-09,45.9150
2006-11-10,46.1100
2006-11-13,46.6320
2006-11-14,46.7380
2006-11-15,46.6710
2006-11-16,46.7090
2006-11-17,46.5720
2006-11-20,46.5470
2006-11-21,47.3380
2006-11-22,47.6530
2006-11-23,47.7660
2006-11-24,47.6470
2006-11-27,47.9490
2006-11-28,47.5750
2006-11-29,47.7590
2006-11-30,47.8470
2006-12-01,48.3700
2006-12-04,48.4910
2006-12-05,48.3970
2006-12-06,48.1370
2006-12-07,48.1590
2006-12-08,47.7430
2006-12-11,46.3770
2006-12-12,44.9520
2006-12-13,45.8900
2006-12-14,46.9950
2006-12-15,47.3740
2006-12-18,47.5410
2006-12-19,46.5920
2006-12-20,46.2330
2006-12-21,46.4130
2006-12-22,46.6450
2006-12-26,47.4590
2006-12-27,48.1550
2006-12-28,48.2480
2006-12-29,48.4140
2007-01-02,48.8280
2007-01-03,48.9120
2007-01-04,48.8550
2007-01-05,48.8250
2007-01-08,48.3190
2007-01-09,48.0810
2007-01-10,47.3700
2007-01-11,48.2140
2007-01-12,49.1700
2007-01-15,49.4000
2007-01-16,49.5320
2007-01-17,49.7030
2007-01-18,49.8340
2007-01-19,49.5410
2007-01-22,49.5060
2007-01-23,49.2870
2007-01-24,49.2360
2007-01-25,49.6770
2007-01-29,49.1490
2007-01-31,48.9170
2007-02-01,49.3800
2007-02-02,49.7330
2007-02-05,50.2340
2007-02-06,50.1830
2007-02-07,50.3670
2007-02-08,50.1030
2007-02-09,49.4990
2007-02-12,48.3100
2007-02-13,48.2720
2007-02-14,48.1800
2007-02-15,49.0890
2007-02-19,49.1530
2007-02-20,48.6530
2007-02-21,48.4330
2007-02-22,47.7650
2007-02-23,46.6880
2007-02-26,46.7650
2007-02-27,46.3180
2007-02-28,45.0470
2007-03-01,45.3160
2007-03-02,44.5420
2007-03-05,42.4450
2007-03-06,43.0970
2007-03-07,42.3680
2007-03-08,43.9130
2007-03-09,43.5050
2007-03-12,43.7940
2007-03-13,44.0400
2007-03-14,42.9190
2007-03-15,43.1630
2007-03-16,42.9300
2007-03-19,43.4550
2007-03-20,43.5680
2007-03-21,44.2400
2007-03-22,45.3400
2007-03-23,45.3700
2007-03-26,45.0780
2007-03-28,44.4120
2007-03-29,44.8060
2007-03-30,45.4610
2007-04-02,43.8150
2007-04-03,44.1820
2007-04-04,44.7510
2007-04-05,45.0290
2007-04-09,45.9290
2007-04-10,46.3240
2007-04-11,46.5120
2007-04-12,46.2260
2007-04-13,46.8020
2007-04-16,47.9300
2007-04-17,47.6950
2007-04-18,47.8910
2007-04-19,47.7710
2007-04-20,48.5330
2007-04-23,48.3420
2007-04-24,48.7740
2007-04-25,48.9430
2007-04-26,49.2260
2007-04-27,48.4900
2007-04-30,48.5810
2007-05-03,49.1600
2007-05-04,48.8520
2007-05-07,48.8430
2007-05-08,48.4280
2007-05-09,48.4440
2007-05-10,48.3250
2007-05-11,48.5090
2007-05-14,49.4460
2007-05-15,49.7740
2007-05-16,50.3160
2007-05-17,50.6800
2007-05-18,50.6890
2007-05-21,51.0470
2007-05-22,51.2560
2007-05-23,51.2570
2007-05-24,51.3840
2007-05-25,51.4980
2007-05-28,52.1650
2007-05-29,52.7610
2007-05-30,52.3840
2007-05-31,53.1980
2007-06-01,53.3050
2007-06-04,53.0540
2007-06-05,53.2740
2007-06-06,52.4090
2007-06-07,52.1420
2007-06-08,51.7640
2007-06-11,51.9580
2007-06-12,52.0770
2007-06-13,51.9320
2007-06-14,52.4820
2007-06-15,52.5270
2007-06-18,52.6790
2007-06-19,53.2700
2007-06-20,54.1520
2007-06-21,54.2190
2007-06-22,54.0420
2007-06-25,54.0260
2007-06-26,54.3420
2007-06-27,54.2300
2007-06-28,54.2960
2007-06-29,54.6950
2007-07-02,55.2890
2007-07-03,55.9400
2007-07-04,55.8190
2007-07-05,55.5920
2007-07-06,55.9490
2007-07-09,56.6530
2007-07-10,56.5130
2007-07-11,56.6230
2007-07-12,57.4590
2007-07-13,57.6940
2007-07-16,57.7080
2007-07-17,57.7000
2007-07-18,57.7310
2007-07-19,58.4170
2007-07-20,58.4870
2007-07-23,59.0690
2007-07-24,59.0530
2007-07-25,58.9700
2007-07-26,59.2370
2007-07-27,57.7780
2007-07-30,57.6440
2007-07-31,58.7160
2007-08-01,56.6990
2007-08-02,57.0780
2007-08-03,57.7010
2007-08-06,57.0450
2007-08-07,57.1690
2007-08-08,58.1610
2007-08-09,57.3660
2007-08-10,56.9490
2007-08-13,57.3570
2007-08-14,57.4040
2007-08-16,55.3980
2007-08-17,54.8260
2007-08-20,55.6920
2007-08-21,53.9810
2007-08-22,54.4260
2007-08-23,53.9650
2007-08-24,54.8630
2007-08-27,56.3920
2007-08-28,56.7840
2007-08-29,56.9160
2007-08-30,57.4060
2007-08-31,58.1700
2007-09-03,58.5010
2007-09-04,58.7620
2007-09-05,58.7750
2007-09-06,59.2110
2007-09-07,59.4150
2007-09-10,59.6980
2007-09-11,59.6580
2007-09-12,59.7040
2007-09-13,60.1170
2007-09-14,59.7990
2007-09-17,59.5630
2007-09-18,60.0950
2007-09-19,61.8560
2007-09-20,62.2250
2007-09-21,62.5310
2007-09-24,62.9750
2007-09-25,63.0590
2007-09-26,63.0430
2007-09-27,63.2820
2007-09-28,63.8180
2007-10-01,64.3560
2007-10-03,65.4210
2007-10-04,65.3750
2007-10-05,65.4630
2007-10-08,64.3170
2007-10-09,66.2420
2007-10-10,67.4560
2007-10-11,68.3520
2007-10-12,67.3270
2007-10-15,69.5190
2007-10-16,69.8120
2007-10-17,68.3350
2007-10-18,66.2940
2007-10-19,64.7610
2007-10-22,64.9190
2007-10-23,68.1660
2007-10-24,69.0930
2007-10-25,69.8120
2007-10-26,71.6960
2007-10-29,73.8610
2007-10-30,73.0740
2007-10-31,73.6820
2007-11-01,73.3350
2007-11-02,74.3040
2007-11-05,73.6110
2007-11-06,73.0750
2007-11-07,72.7190
2007-11-08,71.8900
2007-11-12,71.4200
2007-11-13,72.3580
2007-11-14,74.4700
2007-11-15,74.7420
2007-11-16,75.1090
2007-11-19,76.1920
2007-11-20,75.0550
2007-11-21,72.0720
2007-11-22,71.7060
2007-11-23,72.3950
2007-11-26,73.8620
2007-11-27,73.6700
2007-11-28,73.1340
2007-11-29,73.1810
2007-11-30,74.8950
2007-12-03,75.9180
2007-12-04,75.8140
2007-12-05,77.0360
2007-12-06,77.4770
2007-12-07,77.6500
2007-12-10,77.6280
2007-12-11,79.1720
2007-12-12,79.3700
2007-12-13,79.1750
2007-12-14,78.9160
2007-12-17,75.7680
2007-12-18,75.4410
2007-12-19,75.7170
2007-12-20,75.5410
2007-12-24,77.6480
2007-12-26,78.8440
2007-12-27,79.0780
2007-12-28,79.6670
2007-12-31,80.5760
2008-01-01,81.2870
2008-01-02,82.0790
2008-01-03,81.2520
2008-01-04,81.8500
2008-01-07,82.1320
2008-01-08,81.7070
2008-01-09,80.9640
2008-01-10,79.5330
2008-01-11,79.5990
2008-01-14,79.7770
2008-01-15,78.6390
2008-01-16,77.6180
2008-01-17,77.7700
2008-01-18,75.2270
2008-01-21,69.9630
2008-01-22,65.8250
2008-01-23,69.2220
2008-01-24,67.3020
2008-01-25,70.6450
2008-01-28,70.0350
2008-01-29,70.0680
2008-01-30,69.0640
2008-01-31,68.4320
2008-02-01,69.6400
2008-02-04,70.7920
2008-02-05,70.7750
2008-02-06,69.2880
2008-02-07,67.6380
2008-02-08,67.2630
2008-02-11,64.9370
2008-02-12,64.7870
2008-02-13,65.7510
2008-02-14,68.6350
2008-02-15,69.4530
2008-02-18,69.2780
2008-02-19,69.2590
2008-02-20,67.7980
2008-02-21,67.9990
2008-02-22,66.9070
2008-02-25,67.4270
2008-02-26,68.1770
2008-02-27,68.1890
2008-02-28,68.4410
2008-02-29,67.8270
2008-03-03,65.2880
2008-03-04,64.0640
2008-03-05,64.4790
2008-03-07,62.7890
2008-03-10,62.8160
2008-03-11,63.9700
2008-03-12,63.4380
2008-03-13,60.6360
2008-03-14,61.3570
2008-03-17,58.4170
2008-03-18,58.0880
2008-03-19,58.4500
2008-03-24,58.6420
2008-03-25,61.6040
2008-03-26,61.7720
2008-03-27,61.9880
2008-03-28,63.6400
2008-03-31,62.1500
2008-04-01,62.0270
2008-04-02,62.5240
2008-04-03,62.2210
2008-04-04,60.8120
2008-04-07,62.1570
2008-04-08,61.9780
2008-04-09,62.5410
2008-04-10,62.2720
2008-04-11,62.6970
2008-04-15,63.1790
2008-04-16,63.2060
2008-04-17,63.6270
2008-04-21,64.5840
2008-04-22,65.1850
2008-04-23,64.8040
2008-04-24,64.5100
2008-04-25,65.4850
2008-04-28,65.4540
2008-04-29,66.0860
2008-04-30,66.1960
2008-05-02,66.8540
2008-05-05,66.7610
2008-05-06,66.2530
2008-05-07,66.2140
2008-05-08,65.6410
2008-05-09,64.4400
2008-05-12,64.4860
2008-05-13,64.4050
2008-05-14,64.8100
2008-05-15,65.6580
2008-05-16,65.8190
2008-05-20,65.2970
2008-05-21,65.4600
2008-05-22,64.6180
2008-05-23,64.0270
2008-05-26,63.0050
2008-05-27,62.7620
2008-05-28,63.3100
2008-05-29,62.4170
2008-05-30,62.8130
2008-06-02,62.0210
2008-06-03,61.6380
2008-06-04,60.3620
2008-06-05,61.3140
2008-06-06,60.7380
2008-06-09,59.2500
2008-06-10,58.8510
2008-06-11,59.6790
2008-06-12,59.8570
2008-06-13,59.9390
2008-06-16,60.6060
2008-06-17,61.4680
2008-06-18,60.6880
2008-06-19,59.6370
2008-06-20,57.5430
2008-06-23,56.1740
2008-06-24,55.6640
2008-06-25,55.9740
2008-06-26,56.4570
2008-06-27,54.6000
2008-06-30,53.4720
2008-07-01,51.6120
2008-07-02,53.2160
2008-07-03,51.7340
2008-07-04,53.0310
2008-07-07,53.5220
2008-07-08,53.0200
2008-07-09,54.8090
2008-07-10,54.7360
2008-07-11,53.5880
2008-07-14,53.2440
2008-07-15,51.1150
2008-07-16,50.7660
2008-07-17,52.3620
2008-07-18,54.1460
2008-07-21,54.7180
2008-07-22,55.6680
2008-07-23,58.7800
2008-07-24,58.4990
2008-07-25,56.9050
2008-07-28,57.1560
2008-07-29,55.5560
2008-07-30,56.7880
2008-07-31,56.8190
2008-08-01,57.9610
2008-08-04,58.0430
2008-08-05,59.2170
2008-08-06,59.5100
2008-08-07,59.4750
2008-08-08,59.7500
2008-08-11,60.9930
2008-08-12,60.5830
2008-08-13,60.5300
2008-08-14,59.1790
2008-08-18,58.9370
2008-08-19,58.6770
2008-08-20,59.0720
2008-08-21,57.6770
2008-08-22,58.0240
2008-08-25,58.2750
2008-08-26,58.2670
2008-08-27,57.8610
2008-08-28,57.2350
2008-08-29,58.8710
2008-09-01,58.9890
2008-09-02,60.6170
2008-09-04,60.1190
2008-09-05,59.1860
2008-09-08,60.4520
2008-09-09,60.2910
2008-09-10,59.7490
2008-09-11,58.3910
2008-09-12,57.7760
2008-09-15,56.3710
2008-09-16,56.0010
2008-09-17,55.2110
2008-09-18,55.5600
2008-09-19,57.7310
2008-09-22,57.6090
2008-09-23,56.3790
2008-09-24,56.8260
2008-09-25,56.4820
2008-09-26,55.2310
2008-09-29,53.3760
2008-09-30,54.5370
2008-10-01,55.1660
2008-10-03,53.7640
2008-10-06,51.0880
2008-10-07,50.7950
2008-10-08,49.1920
2008-10-10,46.0630
2008-10-13,48.0130
2008-10-14,49.2220
2008-10-15,46.7020
2008-10-16,46.3180
2008-10-17,44.4970
2008-10-20,44.9030
2008-10-21,46.5370
2008-10-22,44.8060
2008-10-23,43.3340
2008-10-24,39.5450
2008-10-27,38.2390
2008-10-29,39.9400
2008-10-31,42.2830
2008-11-03,44.2260
2008-11-04,45.4440
2008-11-05,44.4400
2008-11-06,43.3580
2008-11-07,43.9580
2008-11-10,45.6350
2008-11-11,43.4670
2008-11-12,42.4240
2008-11-14,41.6940
2008-11-17,41.1680
2008-11-18,40.0840
2008-11-19,39.6640
2008-11-20,38.5080
2008-11-21,39.6790
2008-11-24,39.7310
2008-11-25,39.1310
2008-11-26,39.8480
2008-11-28,40.0890
2008-12-01,39.4510
2008-12-02,39.0710
2008-12-03,39.2880
2008-12-04,40.6830
2008-12-05,39.9410
2008-12-08,40.2800
2008-12-10,41.5440
2008-12-11,41.8570
2008-12-12,42.2450
2008-12-15,42.9590
2008-12-16,43.4400
2008-12-17,42.0590
2008-12-18,42.8660
2008-12-19,42.9210
2008-12-22,42.1860
2008-12-23,41.3570
2008-12-24,41.1570
2008-12-26,40.4780
2008-12-29,41.1800
2008-12-30,41.6970
2008-12-31,41.6520
2009-01-01,42.3700
2009-01-02,42.6430
2009-01-05,43.1370
2009-01-06,43.2740
2009-01-07,40.9750
2009-01-09,40.4350
2009-01-12,39.4000
2009-01-13,38.9130
2009-01-14,39.7100
2009-01-15,38.7540
2009-01-16,39.1620
2009-01-19,39.2990
2009-01-20,38.6540
2009-01-21,37.5310
2009-01-22,37.5570
2009-01-23,36.9220
