date,nav
02-01-13,11.0257
03-01-13,11.0789
04-01-13,11.0692
07-01-13,11.0751
08-01-13,11.0542
09-01-13,11.0343
10-01-13,11.0157
11-01-13,10.885
14-01-13,11.0347
15-01-13,11.0652
16-01-13,10.9218
17-01-13,10.9362
18-01-13,10.8932
21-01-13,10.917
22-01-13,10.811
23-01-13,10.7659
24-01-13,10.5898
25-01-13,10.7493
28-01-13,10.7628
29-01-13,10.6847
30-01-13,10.6716
31-01-13,10.7503
01-02-13,10.7783
04-02-13,10.7421
05-02-13,10.6978
06-02-13,10.7397
07-02-13,10.6651
08-02-13,10.6016
11-02-13,10.5977
12-02-13,10.6276
13-02-13,10.5568
14-02-13,10.4197
15-02-13,10.4449
18-02-13,10.4856
19-02-13,10.5778
20-02-13,10.5627
21-02-13,10.3538
22-02-13,10.3881
25-02-13,10.3344
26-02-13,10.211
27-02-13,10.3224
28-02-13,10.0957
01-03-13,10.1816
04-03-13,10.0977
05-03-13,10.2366
06-03-13,10.2868
07-03-13,10.3229
08-03-13,10.4296
11-03-13,10.4434
12-03-13,10.353
13-03-13,10.2002
14-03-13,10.2925
15-03-13,10.2464
18-03-13,10.2407
19-03-13,10.0457
20-03-13,9.8588
21-03-13,9.7911
22-03-13,9.7878
25-03-13,9.7298
26-03-13,9.7452
28-03-13,9.8964
01-04-13,9.9817
02-04-13,10.116
03-04-13,10.0041
04-04-13,9.8585
05-04-13,9.8541
08-04-13,9.8847
09-04-13,9.8095
10-04-13,9.898
11-04-13,9.9227
12-04-13,9.9817
15-04-13,9.9532
16-04-13,10.0908
17-04-13,10.122
18-04-13,10.2441
22-04-13,10.3912
23-04-13,10.347
25-04-13,10.418
26-04-13,10.3767
29-04-13,10.4844
30-04-13,10.5766
02-05-13,10.7269
03-05-13,10.7023
06-05-13,10.77
07-05-13,10.8724
08-05-13,10.8503
09-05-13,10.8182
10-05-13,10.9012
13-05-13,10.7879
14-05-13,10.825
15-05-13,11.0157
16-05-13,11.1041
17-05-13,11.1919
20-05-13,11.0678
21-05-13,10.9948
22-05-13,10.9569
23-05-13,10.7953
24-05-13,10.8668
27-05-13,10.9941
28-05-13,11.0096
29-05-13,10.9584
30-05-13,10.9475
31-05-13,10.8648
03-06-13,10.9129
04-06-13,10.978
05-06-13,10.9933
06-06-13,10.9541
07-06-13,10.8334
10-06-13,10.6992
11-06-13,10.5089
12-06-13,10.3638
13-06-13,10.2096
14-06-13,10.3544
17-06-13,10.4704
18-06-13,10.5083
19-06-13,10.5768
20-06-13,10.3356
21-06-13,10.2165
24-06-13,9.9938
25-06-13,9.9796
26-06-13,9.9627
27-06-13,10.0295
28-06-13,10.2429
01-07-13,10.5334
02-07-13,10.4621
03-07-13,10.2982
04-07-13,10.3635
05-07-13,10.3716
08-07-13,10.3732
09-07-13,10.5119
10-07-13,10.4653
11-07-13,10.5449
12-07-13,10.6053
15-07-13,10.6943
16-07-13,10.5665
17-07-13,10.497
18-07-13,10.6547
19-07-13,10.5837
22-07-13,10.5498
23-07-13,10.6103
24-07-13,10.3986
25-07-13,10.3314
26-07-13,10.2286
29-07-13,10.0934
30-07-13,9.8889
31-07-13,9.8986
01-08-13,9.744
02-08-13,9.6155
05-08-13,9.6861
06-08-13,9.4532
07-08-13,9.5823
08-08-13,9.6518
12-08-13,9.7703
13-08-13,9.9648
14-08-13,10.0455
16-08-13,9.651
19-08-13,9.4227
20-08-13,9.3455
21-08-13,9.2069
22-08-13,9.3128
23-08-13,9.4415
26-08-13,9.4902
27-08-13,9.1907
28-08-13,9.0799
29-08-13,9.2454
30-08-13,9.3355
02-09-13,9.4734
03-09-13,9.1922
04-09-13,9.328
05-09-13,9.5267
06-09-13,9.5872
10-09-13,9.8455
11-09-13,9.964
12-09-13,9.8235
13-09-13,9.8624
16-09-13,9.8484
17-09-13,9.8184
18-09-13,9.873
19-09-13,10.2226
20-09-13,10.1602
23-09-13,10.0278
24-09-13,10.0343
25-09-13,10.0768
26-09-13,10.0818
27-09-13,10.0924
30-09-13,9.9598
01-10-13,10.0319
03-10-13,10.2056
04-10-13,10.2469
07-10-13,10.3039
08-10-13,10.2982
09-10-13,10.4129
10-10-13,10.4868
11-10-13,10.5034
14-10-13,10.5272
15-10-13,10.4314
17-10-13,10.3789
18-10-13,10.5375
21-10-13,10.7018
22-10-13,10.7429
23-10-13,10.7336
24-10-13,10.7056
25-10-13,10.6157
28-10-13,10.4908
29-10-13,10.6698
30-10-13,10.7315
31-10-13,10.8387
01-11-13,10.9126
05-11-13,10.9306
06-11-13,10.8805
07-11-13,10.7084
08-11-13,10.7269
11-11-13,10.6425
12-11-13,10.5928
13-11-13,10.5464
14-11-13,10.7496
18-11-13,10.9238
19-11-13,10.921
20-11-13,10.8221
21-11-13,10.6348
22-11-13,10.6653
25-11-13,10.8283
26-11-13,10.7907
27-11-13,10.7932
28-11-13,10.8604
29-11-13,10.994
02-12-13,11.0717
03-12-13,11.0313
04-12-13,10.9552
05-12-13,11.0315
06-12-13,11.0587
09-12-13,11.1754
10-12-13,11.1016
11-12-13,11.0291
12-12-13,10.9409
13-12-13,10.8091
16-12-13,10.9157
17-12-13,10.9439
18-12-13,11.1003
19-12-13,11.1005
20-12-13,11.2629
23-12-13,11.3234
24-12-13,11.3406
26-12-13,11.3666
27-12-13,11.4582
30-12-13,11.4367
31-12-13,11.4829
01-01-14,11.5307
02-01-14,11.2942
03-01-14,11.3516
06-01-14,11.369
07-01-14,11.2554
08-01-14,11.2862
09-01-14,11.193
10-01-14,11.1617
13-01-14,11.1509
14-01-14,11.1526
15-01-14,11.1981
16-01-14,11.0907
17-01-14,10.9547
20-01-14,11.0743
21-01-14,11.0836
22-01-14,11.1094
23-01-14,11.0882
24-01-14,10.9079
27-01-14,10.5928
28-01-14,10.577
29-01-14,10.6356
30-01-14,10.4349
31-01-14,10.6651
03-02-14,10.5591
04-02-14,10.6012
05-02-14,10.657
06-02-14,10.6964
07-02-14,10.7228
10-02-14,10.6648
11-02-14,10.6679
12-02-14,10.6503
13-02-14,10.5017
14-02-14,10.5195
17-02-14,10.5259
18-02-14,10.6274
19-02-14,10.6698
20-02-14,10.6484
21-02-14,10.7261
24-02-14,10.7192
25-02-14,10.7372
